sp_code,DE,LMA,Nmass,Aarea,Rdmass
TAROFF,NA,34.674,3.597,22.909,NA
TRIREP,NA,33.884,4.498,16.218,NA
VERCHA,NA,32.359,1.698,NA,NA
CASSP,NA,66.069,2.382,NA,NA
GERSP,NA,60.256,1.321,NA,NA
LACSP,NA,93.325,0.929,NA,NA
LUPSP,NA,52.481,3.221,NA,NA
PLALAN,D,58.884,2.312,NA,NA
TAROFF,NA,33.113,3.999,NA,NA
TRIREP,NA,39.811,3.443,NA,NA
BACARB,NA,95.499,2.917,NA,NA
BOMGLA,NA,114.815,2.168,NA,NA
CALINT,NA,199.526,0.67,NA,NA
CARPIC,NA,87.096,1.648,NA,NA
CHUJUS,NA,141.254,1.679,NA,NA
DIPRUP,NA,154.882,2.249,NA,NA
GERCON,NA,79.433,2.541,NA,NA
GUNMAG,NA,109.648,2.27,NA,NA
GYNSP,NA,169.824,1.589,NA,NA
HALWED,NA,87.096,1.679,NA,NA
LORILI,E,199.526,1.069,NA,NA
LUPKUN,NA,83.176,3.908,NA,NA
LUZGIG,NA,58.884,1.549,NA,NA
NIPDIS,NA,125.893,2.812,NA,NA
PLARIG,NA,162.181,1.33,NA,NA
RANPER,NA,69.183,3.304,NA,NA
SENCOM,NA,67.608,3.698,NA,NA
VALPIL,NA,123.027,1.82,NA,NA
WERNUB,NA,181.97,2.239,NA,NA
AASP,NA,107.152,2.642,NA,NA
AGRNIG,NA,93.325,2.158,NA,NA
ASTGEM,NA,134.896,3.467,NA,NA
AZOPED,NA,128.825,1.611,NA,NA
CALACA,NA,100,2.692,NA,NA
CERMOL,NA,64.565,2.692,NA,NA
CULCAN,NA,275.423,1.211,NA,NA
CULNIV,NA,234.423,1.57,NA,NA
CULREF,NA,169.824,1.581,NA,NA
DRAARE,NA,75.858,2.128,NA,NA
ERIECU,NA,66.069,2.858,NA,NA
GENNUM,NA,64.565,1.671,NA,NA
HYPSON,NA,87.096,2.312,NA,NA
LACORB,NA,128.825,1.151,NA,NA
LUZRAC,NA,102.329,1.239,NA,NA
NOTPHY,NA,87.096,2.477,NA,NA
OREAND,NA,109.648,1.901,NA,NA
PLANUB,NA,158.489,0.78,NA,NA
RUMACE,NA,67.608,2.35,NA,NA
SILTHY,NA,75.858,2.698,NA,NA
WERHUM,NA,97.724,1.449,NA,NA
WERNUB,NA,158.489,1.429,NA,NA
WERPUM,NA,169.824,1.742,NA,NA
BROLAN,NA,85.114,2.63,NA,NA
CASFIS,NA,47.863,1.39,NA,NA
CERMOL,NA,58.884,3.199,NA,NA
