sp_code,DE,LMA,Nmass,Aarea,Rdmass
NEOSER,E,NA,NA,NA,NA
CINJAP,E,NA,NA,NA,NA
MYRSEG,E,NA,NA,NA,NA
SYMPRU,E,NA,NA,NA,NA
ILLANI,E,NA,NA,NA,NA
CLEJAP,E,NA,NA,NA,NA
EURJAP,E,NA,NA,NA,NA
ASTGRA,D,58.884,2.642,NA,NA
BAUMEG,D,29.512,3.126,NA,NA
BURSIM,D,50.119,2.704,NA,NA
CAPFLE,E,89.125,3.296,NA,NA
ERYCUM,D,66.069,3.112,NA,NA
ERYDEN,NA,75.858,2.63,NA,NA
ERYORI,D,48.978,2.831,NA,NA
EUGCAS,E,64.565,2.884,NA,NA
SAPSAP,D,51.286,2.831,NA,NA
TABCHR,D,44.668,2.844,NA,NA
CHISP1,E,107.152,1.641,NA,NA
DIPMAL,E,107.152,2.312,NA,NA
DIPSUB,E,134.896,1.629,NA,NA
ELATAP,E,114.815,1.69,NA,NA
EUGRUG,E,158.489,1.18,NA,NA
GANSP1,E,199.526,1.406,NA,NA
HOMDIC,E,81.283,1.884,NA,NA
MACLOW,E,79.433,1.549,NA,NA
MANFOE,E,141.254,1.225,NA,NA
MONMAR,E,66.069,3.589,NA,NA
PTYCAP,E,125.893,1.698,NA,NA
XANSTI,E,123.027,2.009,NA,NA
APOBRA,E,79.433,NA,2.291,NA
APOLUN,E,123.027,NA,3.89,NA
APOMIC,E,45.709,NA,1.445,NA
BACPAR,E,87.096,NA,2.344,NA
BACRAC,E,125.893,NA,2.754,NA
BACRET,E,114.815,NA,3.388,NA
DIOCAU,E,74.131,NA,4.169,NA
DIOMAI,E,194.984,NA,5.623,NA
DIONUT,E,107.152,NA,2.399,NA
GARBAN,E,158.489,NA,5.37,NA
GARMAL,E,123.027,NA,2.455,NA
GARSMA,E,75.858,NA,2.399,NA
CIRARV,NA,63.096,NA,NA,NA
EPILIR,NA,50.119,NA,NA,NA
PHRAUS,NA,54.954,NA,NA,NA
URTDIO,NA,42.658,NA,NA,NA
AGRTEN,NA,39.811,NA,NA,NA
ANTODO,NA,33.113,NA,NA,NA
HOLLAN,NA,26.303,NA,NA,NA
LEOAUT,NA,30.903,NA,NA,NA
RANREP,NA,43.652,NA,NA,NA
CARLAS,NA,91.201,NA,NA,NA
CARNIG,NA,58.884,NA,NA,NA
JUNSUB,NA,131.826,NA,NA,NA
MENTRI,NA,42.658,NA,NA,NA
POTPAL,NA,64.565,NA,NA,NA
CIRVUL,NA,51.286,NA,NA,NA
EUPCAN,NA,34.674,NA,NA,NA
GALAPA,NA,20.893,NA,NA,NA
PHRAUS,NA,42.658,NA,NA,NA
URTDIO,NA,35.481,NA,NA,NA
BRAPIN,NA,45.709,NA,NA,NA
CARFLA,NA,66.069,NA,NA,NA
CENJAC,NA,53.703,NA,NA,NA
DACMAC,NA,45.709,NA,NA,NA
LEOHIS,NA,37.154,NA,NA,NA
ONOREP,NA,43.652,NA,NA,NA
PLALAN,D,46.774,NA,NA,NA
CALVUL,E,125.893,NA,NA,NA
CARPIL,NA,47.863,NA,NA,NA
DESFLE,NA,57.544,NA,NA,NA
GENANG,NA,64.565,NA,NA,NA
MOLCAE,NA,43.652,NA,NA,NA
RUMACE,NA,40.738,NA,NA,NA
CENJAC,NA,60.256,NA,NA,NA
FESRUB,NA,77.625,NA,NA,NA
LEUVUL,NA,69.183,NA,NA,NA
PLALAN,D,51.286,NA,NA,NA
TRIPRA,NA,43.652,NA,NA,NA
UNICOM,NA,54.954,NA,NA,NA
CARPAN,NA,43.652,NA,NA,NA
CIRDIS,NA,61.66,NA,NA,NA
ERITET,NA,125.893,NA,NA,NA
MOLCAE,NA,46.774,NA,NA,NA
SALREP,NA,70.795,NA,NA,NA
SUCPRA,NA,61.66,NA,NA,NA
VIOPAL,NA,28.84,NA,NA,NA
AEGLHO,NA,120.226,2.673,9.333,NA
ANNCOR,NA,147.911,2.089,9.333,NA
ASPTOM,NA,141.254,1.03,10.233,NA
BAUHOL,NA,144.544,2.421,10.471,NA
BOWVIR,NA,169.824,2.371,9.12,NA
CAMARO,NA,147.911,1.479,10.471,NA
CARBRA,NA,117.49,1.888,9.333,NA
CONSUB,NA,147.911,1.542,12.303,NA
DAVRUG,NA,165.959,1.4,10.233,NA
DIDVIN,NA,147.911,1.82,17.783,NA
DUGFUR,NA,165.959,1.888,9.772,NA
GOCFLO,NA,169.824,1.611,16.218,NA
KIECOR,NA,204.174,1.089,10.471,NA
MICALB,NA,151.356,1.459,12.882,NA
MICLIG,NA,131.826,1.542,14.125,NA
PIPROT,NA,158.489,1.968,12.303,NA
QUADIC,NA,144.544,1.51,10.965,NA
STYCAM,NA,208.93,1.641,8.128,NA
TIBSTE,NA,134.896,1.611,19.953,NA
TOCFOR,NA,158.489,1.862,6.457,NA
CALINT,E,223.872,1.109,7.762,NA
COCFRA,D,60.256,1.762,9.333,NA
CORFOE,E,223.872,0.78,12.882,NA
MELVIR,E,234.423,0.769,14.125,NA
PLACAR,D,100,1.6,10.233,NA
SYZEUC,E,125.893,1.159,8.318,NA
TERFER,D,120.226,1.521,12.882,NA
XANPAR,E,138.038,1.151,11.749,NA
BRAMEG,D,97.724,2.018,10.715,NA
BUCOBO,E,162.181,1.151,10.715,NA
ERYCHL,E,100,2.28,10.965,NA
EUCTET,E,181.97,0.71,11.22,NA
PLACAR,D,83.176,1.82,10.715,NA
SYZSUB,E,138.038,1.199,11.22,NA
TERFER,D,100,1.51,9.333,NA
EUCCLA,E,141.254,1.04,12.023,NA
EUCMIN,E,123.027,1.698,16.596,NA
ACAAUR,E,104.713,2.477,14.454,NA
LOPLAC,E,120.226,0.959,8.318,NA
MELVIR,E,229.087,0.61,14.125,NA
FICRAC,E,66.069,2.41,16.218,NA
FICSCO,E,83.176,3.013,12.303,NA
MALNES,E,75.858,2.239,13.183,NA
MELLEU,E,147.911,1.05,18.621,NA
TERMIC,D,83.176,2.28,13.183,NA
WRIPUB,D,52.481,3.243,9.55,NA
ACADIA,NA,128.825,NA,NA,NA
ACHSPL,NA,120.226,NA,NA,NA
AJATIB,NA,109.648,NA,NA,NA
ALLPLA,NA,117.49,NA,NA,NA
ALLSP,NA,35.481,NA,NA,NA
ARTLEU,NA,100,NA,NA,NA
ARTPAM,NA,70.795,NA,NA,NA
ARTRHO,NA,87.096,NA,NA,NA
ASTTIB,NA,41.687,NA,NA,NA
CARDIM,NA,51.286,NA,NA,NA
CARORB,NA,81.283,NA,NA,NA
CARPSE,NA,52.481,NA,NA,NA
CHRCRA,NA,114.815,NA,NA,NA
COMSAL,NA,34.674,NA,NA,NA
CORSTR,NA,91.201,NA,NA,NA
DRAHET,NA,69.183,NA,NA,NA
ELYNUT,NA,50.119,NA,NA,NA
EPHREG,NA,75.858,NA,NA,NA
GENKAR,NA,42.658,NA,NA,NA
GENLEU,NA,66.069,NA,NA,NA
GLAMAR,NA,75.858,NA,NA,NA
GYPCAP,NA,117.49,NA,NA,NA
HALSAR,NA,58.884,NA,NA,NA
HEDMIN,NA,48.978,NA,NA,NA
HORTUR,NA,45.709,NA,NA,NA
KNOPAM,NA,117.49,NA,NA,NA
KOBCAP,NA,40.738,NA,NA,NA
KRACER,NA,93.325,NA,NA,NA
LEYPUB,NA,95.499,NA,NA,NA
LIGALP,NA,64.565,NA,NA,NA
LINPTE,NA,61.66,NA,NA,NA
LOMALB,NA,54.954,NA,NA,NA
MACEUC,NA,125.893,NA,NA,NA
MYRSQU,NA,109.648,NA,NA,NA
OXYCHI,NA,36.308,NA,NA,NA
OXYGLO,NA,50.119,NA,NA,NA
PARLAX,NA,52.481,NA,NA,NA
PEDLUD,NA,70.795,NA,NA,NA
PENDRY,NA,87.096,NA,NA,NA
PLAARA,NA,75.858,NA,NA,NA
POTANS,NA,77.625,NA,NA,NA
POTMAL,NA,81.283,NA,NA,NA
POTMOO,NA,128.825,NA,NA,NA
POTMUL,NA,102.329,NA,NA,NA
PRIALG,NA,112.202,NA,NA,NA
PRIPAM,NA,39.811,NA,NA,NA
PYRDJI,NA,104.713,NA,NA,NA
RANKRA,NA,45.709,NA,NA,NA
RANPSE,NA,61.66,NA,NA,NA
SAUSAL,NA,75.858,NA,NA,NA
SCRPAM,NA,74.131,NA,NA,NA
SENKRA,NA,60.256,NA,NA,NA
SERPRO,NA,81.283,NA,NA,NA
SILGRA,NA,52.481,NA,NA,NA
STEWIN,NA,43.652,NA,NA,NA
STIORI,NA,35.481,NA,NA,NA
SUAOLU,NA,181.97,NA,NA,NA
TARDIS,NA,60.256,NA,NA,NA
TARLEU,NA,66.069,NA,NA,NA
VIOTIA,NA,63.096,NA,NA,NA
ZYGROS,NA,162.181,NA,NA,NA
ANDAKB,NA,38.905,NA,NA,NA
BISVIV,NA,81.283,NA,NA,NA
CLETAN,NA,81.283,NA,NA,NA
DRAKOR,NA,29.512,NA,NA,NA
DRAPAM,NA,66.069,NA,NA,NA
DRAPAU,NA,64.565,NA,NA,NA
ERIHET,NA,58.884,NA,NA,NA
ERIPON,NA,69.183,NA,NA,NA
LLOSER,NA,165.959,NA,NA,NA
OXYGLA,NA,69.183,NA,NA,NA
OXYDIG,D,44.668,NA,NA,NA
OXYINC,NA,102.329,NA,NA,NA
PAPINV,NA,72.444,NA,NA,NA
PRIMAC,NA,107.152,NA,NA,NA
RHESPI,NA,117.49,NA,NA,NA
RHOGEL,NA,95.499,NA,NA,NA
RHOPAM,NA,43.652,NA,NA,NA
SAXHIR,NA,87.096,NA,NA,NA
SIBTET,NA,89.125,NA,NA,NA
SMEPEC,NA,40.738,NA,NA,NA
SWEMAR,NA,54.954,NA,NA,NA
VALFED,NA,51.286,NA,NA,NA
CALANT,NA,50.119,NA,NA,NA
CARMEL,NA,60.256,NA,NA,NA
CARSTE,NA,43.652,NA,NA,NA
CHEFOL,NA,66.069,NA,NA,NA
GERHIM,NA,47.863,NA,NA,NA
LEOOCH,NA,79.433,NA,NA,NA
LONSEM,NA,77.625,NA,NA,NA
POTPAM,NA,128.825,NA,NA,NA
RANRUF,NA,54.954,NA,NA,NA
RHOHET,NA,102.329,NA,NA,NA
SOPANN,NA,79.433,NA,NA,NA
IMPNOL,NA,14.454,3.981,NA,NA
CAPBUR,NA,24.547,4.335,NA,NA
LEPRUD,NA,50.119,4.018,NA,NA
THLARV,NA,40.738,4.036,NA,NA
SPEARV,NA,89.125,2.958,NA,NA
STEMED,NA,30.903,3.954,NA,NA
CHEALB,NA,17.378,4.436,NA,NA
FUMOFF,NA,22.909,4.932,NA,NA
EROCIC,NA,18.197,1.968,NA,NA
POLAVI,NA,29.512,4.909,NA,NA
MELPRA,NA,48.978,3.311,NA,NA
SPERUB,NA,81.283,2.71,NA,NA
LEUVUL,NA,30.2,2.188,NA,NA
CAMSIB,NA,85.114,1.71,NA,NA
HYONIG,NA,17.783,5.395,NA,NA
AEGPOD,NA,33.113,4.083,NA,NA
VINHIR,NA,32.359,4.446,NA,NA
ANTDIO,NA,39.811,1.459,NA,NA
ANTTIN,NA,75.858,1.901,NA,NA
ARCTOM,NA,19.953,4.732,NA,NA
ARTABS,NA,23.988,2.208,NA,NA
ARTVUL,NA,33.884,2.328,NA,NA
ASTAME,NA,97.724,2.109,NA,NA
CACHAS,NA,18.621,4.102,NA,NA
CIRARV,NA,38.019,1.941,NA,NA
ECHRIT,D,120.226,1.452,NA,NA
INUHIR,NA,46.774,2.818,NA,NA
TANVUL,NA,42.658,2.404,NA,NA
MYOPAL,NA,25.119,2.178,NA,NA
ONOARE,NA,112.202,2.812,NA,NA
BUNORI,NA,41.687,5.164,NA,NA
DIAACI,NA,70.795,2.118,NA,NA
DIAVER,NA,56.234,2.056,NA,NA
SEDACR,NA,199.526,1.517,NA,NA
SEDPUR,NA,64.565,2.489,NA,NA
KNAARV,NA,38.905,2.148,NA,NA
LATVER,NA,19.953,4.498,NA,NA
LUPPOL,NA,31.623,2.979,NA,NA
ORIVUL,NA,48.978,1.778,NA,NA
TRIPRA,NA,38.905,3.698,NA,NA
TRIREP,NA,35.481,3.622,NA,NA
HERGLA,NA,109.648,2.07,NA,NA
BETOFF,NA,32.359,2.559,NA,NA
GLEHED,NA,21.878,5.236,NA,NA
CHAANG,NA,36.308,3.319,NA,NA
PLAMED,NA,38.019,1.828,NA,NA
POLSIB,NA,69.183,1.849,NA,NA
POLVUL,NA,67.608,2.377,NA,NA
POLBIS,NA,23.988,2.094,NA,NA
RUMACE,NA,67.608,1.679,NA,NA
TRIEUR,NA,22.387,3.631,NA,NA
ADOVER,NA,69.183,2.812,NA,NA
ANESYL,NA,51.286,2.36,NA,NA
AQUVUL,NA,33.884,2.317,NA,NA
CALPAL,NA,28.184,4.285,NA,NA
THASIM,NA,43.652,2.512,NA,NA
TROEUR,NA,42.658,4.169,NA,NA
FILULM,NA,53.703,1.871,NA,NA
FILVUL,NA,46.774,1.901,NA,NA
FRAVES,NA,25.704,2.004,NA,NA
FRAVIR,NA,51.286,1.828,NA,NA
POTERE,NA,32.359,2.228,NA,NA
SANOFF,NA,30.2,1.888,NA,NA
GALBOR,NA,67.608,2.051,NA,NA
GALMOL,NA,25.704,2.944,NA,NA
GALVER,NA,33.884,1.403,NA,NA
CHRALT,NA,18.197,2.377,NA,NA
DIGGRA,NA,33.113,2.158,NA,NA
VERTHA,NA,29.512,2.773,NA,NA
VERCHA,NA,32.359,1.77,NA,NA
VERLON,NA,63.096,1.746,NA,NA
VERSPI,NA,77.625,1.919,NA,NA
VIOCAN,NA,33.113,4.121,NA,NA
VIOMIR,NA,16.982,1.871,NA,NA
ALLRUB,NA,112.202,1.718,NA,NA
ALLSTR,NA,83.176,1.73,NA,NA
CALPAL,NA,33.113,4.121,NA,NA
CONMAJ,NA,23.442,3.819,NA,NA
MAIBIF,NA,25.704,2.489,NA,NA
POLOFF,NA,26.303,2.838,NA,NA
LILMAR,NA,38.905,3.758,NA,NA
NEOCUC,NA,21.878,3.811,NA,NA
PLABIF,NA,35.481,2.63,NA,NA
LINBOR,NA,30.2,1.13,NA,NA
GENTIN,NA,60.256,3.119,NA,NA
MONUNI,NA,57.544,2.042,NA,NA
ORTSEC,NA,85.114,1.489,NA,NA
PYRMED,NA,48.978,1.521,NA,NA
PYRMIN,NA,33.884,1.589,NA,NA
PYRROT,NA,48.978,1.449,NA,NA
VACMYR,D,22.909,2.208,NA,NA
SPAERE,NA,54.954,2.793,NA,NA
TYPLAT,NA,125.893,3.148,NA,NA
ABILAS,E,257.04,1.03,2.951,3.4673685045253166
ACOROS,NA,83.176,2.5,10.715,20.892961308540396
ARCUVA,E,128.825,1.23,4.365,5.248074602497725
BISBIS,NA,83.176,3.899,11.22,28.183829312644534
PICENG,E,309.03,1.03,3.548,3.2359365692962827
PINFLE,E,363.078,1.119,9.772,3.9810717055349722
PSYLEP,NA,79.433,2.897,8.71,15.13561248436208
SALGLA,D,81.283,2.63,10.233,17.78279410038923
SALPLA,NA,81.283,2.673,12.303,24.547089156850298
VACMYR,D,58.884,2.339,6.166,10.715193052376065
ACERUB,D,63.096,1.837,7.762,12.882495516931343
EUPRUG,NA,21.38,3.917,6.918,44.6683592150963
GALAPH,NA,79.433,0.889,4.898,9.772372209558107
HELMIC,NA,39.811,2.618,10.471,35.48133892335755
KALLAT,E,104.713,1.151,4.786,8.912509381337454
LIRTUL,D,60.256,2.239,10.233,14.12537544622754
PINRIG,E,204.174,1.159,11.22,5.248074602497725
PINSTR,E,109.648,1.349,6.026,5.248074602497725
PODPEL,NA,30.903,4.15,6.457,26.915348039269155
QUECOC2,D,85.114,1.73,9.772,11.481536214968829
RHOMAX,E,204.174,0.859,6.918,3.8018939632056115
ROBPSE,D,38.019,4.325,9.333,32.359365692962825
TSUCAN,E,123.027,0.991,5.495,3.0902954325135905
VERPAR,NA,33.884,NA,4.365,18.620871366628677
ATRCAN,NA,251.189,2.099,16.982,12.302687708123818
BACANG,NA,95.499,1.95,18.621,17.378008287493753
ELEANG,NA,81.283,3.981,14.125,23.442288153199225
GUTSAR,NA,295.121,1.679,14.791,14.454397707459272
JUNMON,E,776.247,1.169,7.762,4.786300923226384
LARTRI,E,251.189,1.941,18.197,7.762471166286917
PINEDU,E,407.38,1.059,4.074,NA
POPFRE,NA,120.226,1.66,14.454,14.454397707459272
PROGLA,NA,194.984,2.489,17.783,8.709635899560805
QUETUR,NA,151.356,1.542,NA,15.488166189124811
LYOLUC,E,239.883,0.92,6.166,5.7543993733715695
PERBOR,E,112.202,1.641,6.761,6.760829753919817
PINPAL,E,257.04,0.82,3.89,3.630780547701014
PINSER,E,275.423,0.82,4.074,5.011872336272722
PTEPYC,NA,81.283,1.968,7.762,15.488166189124811
QUELAE,D,102.329,1.151,6.761,6.309573444801933
QUEVIR,NA,158.489,1.542,12.882,5.7543993733715695
TAXDIS,NA,128.825,1.191,8.318,10.232929922807541
VACARB,NA,125.893,1.211,6.457,6.456542290346556
VACCOR,NA,102.329,1.23,6.166,12.589254117941675
ASPALB,E,120.226,1.069,6.457,NA
BELGRO,NA,128.825,1.69,14.125,7.943282347242816
CARHET,E,147.911,0.929,5.754,NA
CECFIC,NA,69.183,2.472,17.783,18.197008586099834
CLISER,NA,79.433,1.648,9.12,NA
EPELEU,E,104.713,1.25,3.631,NA
EPEPUR,E,NA,1.521,NA,NA
GOUGLA,NA,77.625,1.51,7.762,NA
LEGSP,E,138.038,2.138,6.607,NA
LICHET,E,147.911,1.3,7.943,5.248074602497725
MANESC,NA,36.308,3.981,16.982,33.11311214825911
MICDIS,NA,109.648,1.589,10.233,5.248074602497725
MICSPR,E,169.824,1.079,7.413,NA
MICMAG,E,181.97,0.8,NA,NA
NEEOBO,NA,97.724,1.841,6.457,NA
OCOCOS,E,128.825,1.5,5.888,5.011872336272722
PROSP1,E,114.815,0.859,4.074,6.025595860743578
PROSP2,E,123.027,1.77,8.128,5.7543993733715695
PROSP3,E,173.78,1.03,5.623,NA
RETTRU,E,120.226,0.681,5.623,NA
RHOHUM,E,131.826,0.78,6.166,NA
SOLSTR,NA,34.674,3.917,13.49,33.884415613920254
VISJAP,NA,95.499,1.641,12.882,9.33254300796991
VISLAU,NA,87.096,1.791,13.804,10.964781961431852
ACERUB,D,60.256,2.099,6.457,12.302687708123818
ACESAC,D,79.433,1.849,7.586,7.079457843841379
ANDGLA,E,131.826,1.39,9.333,NA
ARITRI,NA,26.303,6.353,NA,NA
BAPLEU,NA,93.325,3.589,14.791,36.30780547701014
BETNIG,NA,85.114,2.28,10,NA
BETPUM,NA,107.152,1.51,7.244,NA
CAROVA,D,89.125,1.982,8.318,NA
CAUTHA,NA,23.442,5.821,5.888,NA
CELOCC,NA,83.176,2.388,9.772,NA
CHACAL,E,87.096,1.191,6.166,NA
CORFLO,D,93.325,1.4,7.244,NA
CORRAC,NA,81.283,1.449,7.079,NA
DENLAC,NA,33.884,5.297,14.125,NA
ECHPUR,NA,77.625,1.5,9.772,17.378008287493753
ERYAME,NA,44.668,4.198,12.023,52.48074602497726
FRAAME,D,72.444,1.982,8.511,NA
ILEVER,NA,91.201,1.549,6.607,NA
JUGNIG,NA,33.113,2.958,5.754,NA
JUNVIR,NA,331.131,1.641,6.457,NA
LARDEC,D,72.444,2.099,8.913,NA
LARLAR,NA,120.226,1.429,6.761,NA
LONBEL,NA,83.176,1.901,9.772,NA
PICGLA,E,288.403,1.239,6.607,3.9810717055349722
PICMAR,E,295.121,1.211,9.12,NA
PINBAN,E,245.471,1.239,7.586,6.025595860743578
PINRES,E,295.121,1.169,6.31,NA
PINSTR,E,134.896,1.698,6.026,4.677351412871983
PINSYL,E,295.121,1.39,10.233,6.165950018614822
PODPEL,NA,32.359,4.467,7.943,NA
POPDEL,D,91.201,2.36,14.791,14.12537544622754
POPTRE2,D,83.176,2.208,12.023,22.3872113856834
PRUSER,D,100,2.07,11.749,NA
QUEELL,NA,104.713,2.099,13.183,13.182567385564074
QUEMAC,D,87.096,2.35,13.49,NA
RHACAT,D,87.096,2.301,10.965,NA
SANCAN,NA,30.903,5.358,7.943,64.56542290346556
SARPUR,E,128.825,1.14,2.951,NA
SILINT,NA,85.114,1.66,10,19.054607179632473
SILTER,NA,75.858,1.439,13.49,17.78279410038923
THUOCC,E,223.872,0.76,7.244,NA
TRIGRA,NA,28.184,5.164,5.754,NA
ULMAME,D,120.226,1.932,13.804,NA
ACENEG,D,37.154,2.5,NA,NA
ACEPEN,D,30.2,1.901,NA,NA
ACERUB,D,77.625,2,NA,NA
ACESAC,D,46.774,2.198,NA,NA
RHUTYP,D,66.069,3.097,NA,NA
ALNRUG,D,60.256,2.999,NA,NA
BETALL,D,45.709,2.198,NA,NA
BETPAP,D,72.444,2.198,NA,NA
CARCAR,D,53.703,2,NA,NA
OSTVIR,D,37.154,2.198,NA,NA
CORALT,D,39.811,1.698,NA,NA
FAGGRA,D,53.703,2.099,NA,NA
QUEALB,D,47.863,2.198,NA,NA
QUERUB,D,54.954,1.799,NA,NA
QUEMAC,D,95.499,2.099,NA,NA
CARCOR,D,43.652,2.6,NA,NA
CAROVA,D,52.481,2.198,NA,NA
JUGCIN,D,61.66,2.6,NA,NA
FRAAME,D,66.069,2.099,NA,NA
FRANIG,D,72.444,2.099,NA,NA
FRAPEN,D,87.096,1.799,NA,NA
PRUSER,D,60.256,2.698,NA,NA
PRUPEN,D,50.119,2.399,NA,NA
PRUVIR,D,83.176,2.799,NA,NA
MALSP,D,79.433,2.5,NA,NA
POPBAL,D,70.795,2,NA,NA
POPDEL,D,70.795,2.399,NA,NA
POPGRA,D,63.096,2.5,NA,NA
POPTRE2,D,79.433,2.6,NA,NA
SALNIG,D,56.234,2.5,NA,NA
TILAME,D,54.954,2.999,NA,NA
ULMAME,D,61.66,2.399,NA,NA
ULMRUB,D,60.256,2.5,NA,NA
ULMTHO,D,64.565,2.301,NA,NA
ACAMIM,E,186.209,2.388,NA,NA
BUCOBO,D,131.826,1.754,NA,NA
ERYCHL,D,91.201,2.36,NA,NA
EUCCLA,D,186.209,1.213,NA,NA
EUCMIN,E,181.97,1.112,NA,NA
EUCPOR,D,128.825,1.227,NA,NA
EUCTEC,E,131.826,1.6,NA,NA
EUCTET,E,223.872,0.908,NA,NA
LIVHUM,E,234.423,1.13,NA,NA
PLACAR,D,112.202,2.037,NA,NA
XANPAR,E,128.825,1.483,NA,NA
ACADIM,E,199.526,2.158,NA,NA
BUCOBO,D,162.181,1.159,NA,NA
EUCBLE,E,229.087,0.902,NA,NA
EUCCON,E,141.254,1.175,NA,NA
EUCMIN,E,213.796,1.094,NA,NA
EUCTEC,D,208.93,1.072,NA,NA
EUCTET,E,257.04,0.923,NA,NA
GREPYR,E,977.237,0.558,NA,NA
LYSCUN,E,144.544,1.535,NA,NA
PETQUA,E,204.174,0.689,NA,NA
PLACAR,D,158.489,1.811,NA,NA
ACAHOL,E,281.838,1.95,NA,NA
CARLAN,E,223.872,1.285,NA,NA
EUCBRE,E,295.121,0.82,NA,NA
EUCPRU,E,239.883,1.064,NA,NA
EUCPRU,E,223.872,1.324,NA,NA
EUCTEC,E,263.027,1.096,NA,NA
EUCTER,E,257.04,0.899,NA,NA
HAKARB,E,398.107,0.566,NA,NA
LYSCUN,E,138.038,1.318,NA,NA
MELSP,E,602.56,1.023,NA,NA
COCFRA,D,117.49,1.409,NA,NA
CYCARM,E,147.911,2.104,NA,NA
ERYCHL,D,102.329,2.301,NA,NA
EUCMIN,E,199.526,1.096,NA,NA
EUCNES,E,158.489,1.271,NA,NA
EUCTET,E,218.776,1.096,NA,NA
LIVHUM,E,199.526,1.75,NA,NA
PERFAL,E,208.93,0.728,NA,NA
EUCBRE,E,288.403,0.902,NA,NA
EUCTER,E,281.838,1.033,NA,NA
GREDIM,E,331.131,0.773,NA,NA
HAKLEU,E,1479.108,0.535,NA,NA
LYSCUN,E,100,2.46,NA,NA
TERARO,E,229.087,1.069,NA,NA
TERCAN,E,190.546,0.957,NA,NA
VENVIM,E,478.63,1.5,NA,NA
AGRGRY,NA,48.978,NA,NA,NA
ASCSYR,NA,54.954,NA,NA,NA
ASTACU,NA,21.878,NA,NA,NA
BRAOLE,NA,28.84,NA,NA,NA
CENNIG,NA,67.608,NA,NA,NA
CHRLEU,NA,58.884,NA,NA,NA
CICINT,NA,57.544,NA,NA,NA
DACGLO,D,45.709,NA,NA,NA
EPIGLA,NA,38.905,NA,NA,NA
EPIHEL,NA,26.915,NA,NA,NA
ERISTR,NA,29.512,NA,NA,NA
GALTET,NA,43.652,NA,NA,NA
HIESCA,NA,21.38,NA,NA,NA
HYPPER,NA,40.738,NA,NA,NA
IMPCAP,NA,18.621,NA,NA,NA
LOBINF,NA,24.547,NA,NA,NA
LYTSAL,NA,61.66,NA,NA,NA
MAICAN,NA,28.84,NA,NA,NA
MELALB,NA,52.481,NA,NA,NA
OENBLE,NA,51.286,NA,NA,NA
OENPER,NA,20.417,NA,NA,NA
OXASTR,NA,17.378,NA,NA,NA
PHLPRA,NA,57.544,NA,NA,NA
PLAMAJ,NA,52.481,NA,NA,NA
POLPER,NA,47.863,NA,NA,NA
POTSIM,NA,31.623,NA,NA,NA
PRUVUL,NA,26.303,NA,NA,NA
PYRELL,NA,50.119,NA,NA,NA
RUDHIR,NA,69.183,NA,NA,NA
SOLCAN,NA,46.774,NA,NA,NA
SONARV,NA,48.978,NA,NA,NA
SPITOM,NA,56.234,NA,NA,NA
TRIPRA,NA,52.481,NA,NA,NA
VEROFF,NA,38.019,NA,NA,NA
ACERUB,D,70.795,2.109,5.888,NA
ALNRUG,D,91.201,2.529,9.772,NA
ANDGLA,E,234.423,1.14,16.218,NA
AROMEL,D,97.724,1.742,12.023,NA
BETPOP,NA,58.884,1.791,7.244,NA
BETPUM,NA,85.114,1.811,6.457,NA
CHACAL,E,117.49,1.361,18.621,NA
COMPER,NA,75.858,2.208,12.303,NA
GAYBAC,NA,67.608,1.66,8.318,NA
ILEVER,NA,52.481,2.529,7.586,NA
KALANG,E,120.226,1.219,8.511,NA
KALPOL,E,141.254,1.3,22.387,NA
LARLAR,NA,NA,1.279,NA,NA
LEDGRO,E,112.202,1.409,11.749,NA
NEMMUC,NA,63.096,1.622,6.607,NA
PICGLA,E,NA,1.409,NA,NA
PICMAR,E,NA,1.021,NA,NA
PINSTR,E,NA,1.219,NA,NA
POPTRE2,D,91.201,1.941,7.943,NA
RUBHIS,NA,69.183,2.018,10.471,NA
SALFRA,D,95.499,2.661,9.55,NA
SARPUR,E,89.125,1.089,2.63,NA
SPIALB,NA,81.283,2.08,12.023,NA
SPITOM,NA,75.858,1.862,12.023,NA
THUOCC,E,NA,1.279,NA,NA
ULMAME,D,72.444,1.941,5.495,NA
VACMYR,NA,89.125,1.542,10.965,NA
VIBCAS,NA,87.096,2.08,7.244,NA
BEUCUM,D,87.096,2.871,10,NA
CAPVER,E,112.202,3.155,6.918,NA
CAPARI,E,144.544,2.218,7.244,NA
COUARB,D,37.154,3.148,6.918,NA
LONDIP,D,41.687,4.083,9.333,NA
MANVER,D,57.544,2.716,5.888,NA
MEMSP,E,128.825,2.046,7.586,NA
MORAME,E,147.911,2.618,7.943,NA
PITDUL,D,66.069,2.588,8.913,NA
PITLIG,D,64.565,3.499,9.12,NA
ASPALB,E,186.209,1.439,NA,NA
CATSP,E,213.796,1.035,NA,NA
CLUSP,E,213.796,1.089,NA,NA
HETSP,E,165.959,1.406,NA,NA
HIRPUN,E,208.93,0.531,NA,NA
HUMBAL,E,199.526,0.69,NA,NA
MACRUF,E,229.087,0.782,NA,NA
MOUINC,E,371.535,0.439,NA,NA
OCOESM,E,181.97,0.794,NA,NA
REMMOR,E,354.813,0.409,NA,NA
RETCON,E,162.181,0.807,NA,NA
RODDIS,E,371.535,0.598,NA,NA
ALLPUS,E,389.045,1.059,NA,NA
